Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000396294940036325,0.00072167777466269,0.0259267147144543,0,0,0,3.44488468561069,0.00350552408207438,2.05960321176568E-06,2.70272861151567E-06,0.0021759508141979,-7.08948842430887E-07,0.00327349909695201,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/base_link.STL,,6055简化-1;urdf-1206_HI_上半身装配_NUC_Orin_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_6056电机固定板4_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腰部卡扣_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部base_V1.0-3;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腰部连接件_V1.0-1,坐标系11,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_hip_pitch_link,-0.00211707609765584,0.0379208443965739,-2.34648317470887E-07,0,0,0,0.332464399423281,0.00021656124124781,1.96809453863197E-09,7.0063109491016E-11,0.000174778048421951,-2.59733455543991E-09,0.000174896056211152,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_hip_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_hip_pitch_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/1206-简化-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_腿部一关节左_V1.0-1,l_hip_pitch_co,l_hip_pitch_ax,l_hip_pitch_joint,revolute,0,0.0575,-0.141,0,0,0,base_link,0,1,0,21,4,-3,3,,,,,,,,
l_hip_roll_link,-0.0277896329749871,1.55799144418989E-09,-0.0625867046028161,0,0,0,0.45372685123116,0.000310242329755238,-1.63339400965531E-11,-1.85567882829277E-06,0.000281938258568152,-3.58056546016109E-11,0.00022487154980978,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_hip_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_hip_roll_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/1206-简化-2;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_腿部二关节左_V1.0-1,l_hip_roll_co,l_hip_roll_ax,l_hip_roll_joint,revolute,0.02875,0.042,0,0,0,0,l_hip_pitch_link,1,0,0,21,4,-3,3,,,,,,,,
l_thigh_link,-2.47119438421487E-08,-0.00195775191362317,-0.0384354110884601,0,0,0,0.216480798098479,0.000126086396930698,2.19767433569625E-12,-2.48244612072097E-10,0.000152534480065572,-1.11920718948652E-06,6.72242935494028E-05,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_thigh_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_腿部三关节左_V1.0-1,l_thigh_co,l_thigh_ax,l_thigh_joint,revolute,-0.02875,0,-0.127,0,0,0,l_hip_roll_link,0,0,1,21,4,-3,3,,,,,,,,
l_calf_link,0.002084208593299,-0.000708512792595609,-0.0666364858990925,0,0,0,0.798186590427918,0.000394052774047747,-1.94635963229571E-07,5.09736810284007E-07,0.000436355973055267,-2.05470524117594E-06,0.00032700401941796,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_calf_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_calf_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_腿部四关节左_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/1206-简化-3;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_小腿梁左脚_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_踝关节三段腿左脚_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/5047-简化-2;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_ 6mmM5V1.0-2;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_ 6mmM5V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_踝关节输出_V1.0-6;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_ POS 4ECBallV1.0-3;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-鱼眼轴承-4;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_踝关节输出_V1.0-5;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-M5_Locknut-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-M5_Locknut-2;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-鱼眼轴承-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_ POS 4ECBallV1.0-4;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/5047-简化-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_踝关节三段腿左脚_V1.0-1/urdf-1206_HI_小腿踝骨_V1.0-1,l_calf_co,l_calf_ax,l_calf_joint,revolute,0,0,-0.073,0,0,0,l_thigh_link,0,1,0,21,4,-3,3,,,,,,,,
l_ankle_pitch_link,-9.12850747509381E-09,4.12927667059471E-09,4.39383196493282E-10,0,0,0,0.00892294107261778,2.27074369978684E-07,5.24991382186059E-15,-9.53624130649719E-17,1.02185448397035E-06,1.9785933442948E-13,9.9089537138096E-07,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_ankle_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_ankle_pitch_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_踝关节十字轴磁铁双编_V1.0-1,l_ankle_co,l_ankle_pitch_ax,l_ankle_pitch_joint,revolute,0,0,-0.199999997760877,0,0,0,l_calf_link,0,1,0,21,4,-3,3,,,,,,,,
l_ankle_roll_link,0.0191469462734272,1.24410964637278E-06,-0.0235556687001754,0,0,0,0.408124172744667,0.000214914616175803,1.40187762223554E-08,6.61054413733577E-08,0.000655689977785892,-1.31856124182802E-09,0.000862874352432036,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/l_ankle_roll_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_脚掌_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_ 脚踝_V1.0-2;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部左_V1.0-1/urdf-1206_HI_踝关节小脚掌左脚_V1.0-1/urdf-1206_HI_脚板磁铁双编_V1.0-4;脚掌-new-2,l_ankle_co,l_ankle_roll_ax,l_ankle_roll_joint,revolute,0,0,0,0,0,0,l_ankle_pitch_link,1,0,0,21,4,-3,3,,,,,,,,
r_hip_pitch_link,-0.00211707607184689,-0.0379180481609783,2.34669631504758E-07,0,0,0,0.332464399123945,0.000216561240983143,-1.96809813185383E-09,-7.0068934838985E-11,0.000174778048243936,-2.59745901504191E-09,0.000174896056124753,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_hip_pitch_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_腿部一关节右_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/1206-简化-5,r_hip_pitch_co,r_hip_pitch_ax,r_hip_pitch_joint,revolute,0,-0.0575,-0.141,0,0,0,base_link,0,1,0,21,4,-3,3,,,,,,,,
r_hip_roll_link,-0.0277896329807857,-3.15155031359315E-06,-0.0625867046028169,0,0,0,0.453726851231109,0.000310242329755245,-1.63339373450913E-11,-1.85567902517169E-06,0.000281938258568134,-3.58056712023289E-11,0.000224871549809768,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_hip_roll_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_腿部二关节右_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/1206-简化-6,r_hip_roll_co,r_hip_roll_ax,r_hip_roll_joint,revolute,0.0287500000000003,-0.0419959226882039,0,0,0,0,r_hip_pitch_link,1,0,0,21,4,-3,3,,,,,,,,
r_thigh_link,2.47055361255605E-08,0.00195775191229149,-0.0384354110884844,0,0,0,0.216480798098292,0.000126086396929227,2.19712782016265E-12,2.48224108944989E-10,0.000152534480062678,1.11920718849412E-06,6.72242935479536E-05,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_thigh_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_腿部三关节右_V1.0-2,r_thigh_co,r_thigh_ax,r_thigh_joint,revolute,-0.02875,0,-0.127,0,0,0,r_hip_roll_link,0,0,1,21,4,-3,3,,,,,,,,
r_calf_link,0.00210372630508033,0.000710487724927336,-0.0659600577317307,0,0,0,0.793906144344769,0.000393935939110766,1.99394924160626E-07,5.05613076796903E-07,0.000436084295683318,2.09123775120312E-06,0.000326763362646964,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_calf_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_calf_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_腿部四关节右_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/1206-简化-7;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-M5_Locknut-4;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-鱼眼轴承-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-鱼眼轴承-3;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_ 6mmM5V1.0-5;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_ POS 4ECBallV1.0-3;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_ 6mmM5V1.0-6;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_ POS 4ECBallV1.0-4;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_踝关节输出_V1.1-6;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_踝关节三段腿右脚_V1.0-1/urdf-1206_HI_小腿踝骨_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_踝关节三段腿右脚_V1.0-1/urdf-1206_HI_小腿前板右脚_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_踝关节输出_V1.1-5;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/5047-简化-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/5047-简化-2;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-M5_Locknut-3,r_calf_co,r_calf_ax,r_calf_joint,revolute,0,0,-0.073,0,0,0,r_thigh_link,0,1,0,21,4,-3,3,,,,,,,,
r_ankle_pitch_link,-9.05278286144826E-09,4.04218516991683E-09,3.56552787295072E-10,0,0,0,0.00892294108304132,2.27074368041127E-07,-5.08822689649353E-16,2.07419849015164E-15,1.02185448697766E-06,1.95424409829807E-13,9.90895385587073E-07,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_ankle_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_ankle_pitch_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_踝关节十字轴磁铁双编_V1.0-1,r_ankle_co,r_ankle_pitch_ax,r_ankle_pitch_joint,revolute,0,0,-0.2,0,0,0,r_calf_link,0,1,0,21,4,-3,3,,,,,,,,
r_ankle_roll_link,0.019146946273425,1.24410964062738E-06,-0.0235556687001899,0,0,0,0.408124172744668,0.000214914616175802,1.40187762252316E-08,6.61054413754024E-08,0.000655689977785891,-1.31856124238544E-09,0.000862874352432036,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hi_12dof_250108_4/meshes/r_ankle_roll_link.STL,,urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_脚掌_V1.0-1;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_脚板磁铁双编_V1.0-4;urdf-1206_HI_下半身装配_V1.0-1/urdf-1206_HI_腿部右_V1.0-1/urdf-1206_HI_踝关节小脚掌右脚_V1.0-1/urdf-1206_HI_ 脚踝_V1.0-2;脚掌-new-1,r_ankle_co,r_ankle_roll_ax,r_ankle_roll_joint,revolute,0,0,0,0,0,0,r_ankle_pitch_link,1,0,0,21,4,-3,3,,,,,,,,
