Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00154853,-7.263E-05,-0.0269642,0,0,0,4,0.00957622,1.02E-06,-8.442E-05,0.00654424,1.11E-06,0.00526567,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/base_link.STL,,base_link-1,base1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_shoulder_pitch_link,0.00242196,-0.058252,-8.6807E-05,0,0,0,0.35,0.00017393,-1.346E-05,-1.1E-07,0.00013651,-8E-07,0.00020583,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/r_shoulder_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/r_shoulder_pitch_link.STL,,r_shoulder_pitch_link^CHI01-00A；总装-1/外壳4438-04150726-1;r_shoulder_pitch_link^CHI01-00A；总装-1/0423电机盖4438端子版0726-1;r_shoulder_pitch_link^CHI01-00A；总装-1/正装轴承座44380726-1;r_shoulder_pitch_link^CHI01-00A；总装-1/输出盘44380726-1;r_shoulder_pitch_link^CHI01-00A；总装-1/4438后装法兰-同向-1;r_shoulder_pitch_link^CHI01-00A；总装-1/4438输出工装-1-1,ys1,ys-1,r_shoulder_pitch_joint,revolute,0,-0.08085,0,0,0,0,base_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_shoulder_roll_link,-0.0088047,-8.8789E-05,-0.052824,0,0,0,0.35,0.00028497,-4.1E-07,8.018E-05,0.00032147,-3.6E-07,0.00014121,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/r_shoulder_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/r_shoulder_roll_link.STL,,r_shoulder_roll_link^CHI01-00A；总装-1/外壳4438-04150726-1;r_shoulder_roll_link^CHI01-00A；总装-1/0423电机盖4438端子版0726-1;r_shoulder_roll_link^CHI01-00A；总装-1/正装轴承座44380726-1;r_shoulder_roll_link^CHI01-00A；总装-1/输出盘44380726-1;r_shoulder_roll_link^CHI01-00A；总装-1/4438后装法兰-反向-1;r_shoulder_roll_link^CHI01-00A；总装-1/4438输出工装-2-1,ys2,ys-2,r_shoulder_roll_joint,revolute,0,-0.06515,0,0,0,0,r_shoulder_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_arm_yaw_link,-0.002422,-8.6807E-05,-0.059552,0,0,0,0.35,0.00017393,1.1E-07,1.346E-05,0.00020583,-8E-07,0.00013651,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/r_arm_yaw_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/r_arm_yaw_link.STL,,r_arm_yaw_link^CHI01-00A；总装-1/外壳4438-04150726-1;r_arm_yaw_link^CHI01-00A；总装-1/0423电机盖4438端子版0726-1;r_arm_yaw_link^CHI01-00A；总装-1/正装轴承座44380726-1;r_arm_yaw_link^CHI01-00A；总装-1/输出盘44380726-1;r_arm_yaw_link^CHI01-00A；总装-1/4438后装法兰-同向-1;r_arm_yaw_link^CHI01-00A；总装-1/4438输出工装-1-1,ys3,ys-3,r_arm_yaw_joint,revolute,-0.0026,0,-0.06495,0,0,0,r_shoulder_roll_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
r_arm_roll_link,0.0088047,8.8789E-05,-0.052824,0,0,0,0.35,0.00028497,-4.1E-07,-8.018E-05,0.00032147,3.6E-07,0.00014121,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/r_arm_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/r_arm_roll_link.STL,,r_arm_roll_link^CHI01-00A；总装-2/外壳4438-04150726-1;r_arm_roll_link^CHI01-00A；总装-2/0423电机盖4438端子版0726-1;r_arm_roll_link^CHI01-00A；总装-2/正装轴承座44380726-1;r_arm_roll_link^CHI01-00A；总装-2/输出盘44380726-1;r_arm_roll_link^CHI01-00A；总装-2/4438后装法兰-反向-1;r_arm_roll_link^CHI01-00A；总装-2/4438输出工装-2-1,ys4,ys-4,r_arm_roll_joint,revolute,0,0,-0.06645,0,0,0,r_arm_yaw_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_wrist_yaw_link,0,0,-0.06558,0,0,0,0.035143,1.2175E-05,9.4252E-23,1.2115E-20,1.2175E-05,-1.456E-19,3.7315E-06,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/r_wrist_yaw_link.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/r_wrist_yaw_link.STL,,r-wrist_yaw_link-4,ys5,ys-5,r_wrist_yaw_joint,revolute,0.0026,0,-0.06495,0,0,0,r_arm_roll_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
l_shoulder_pitch_link,0.00095302,0.058734,-8.0741E-05,0,0,0,0.35,0.00016981,1.582E-05,-6E-08,0.00014053,7.3E-07,0.00020608,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/l_shoulder_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/l_shoulder_pitch_link.STL,,l_shoulder_pitch_link^CHI01-00A；总装-1/0423电机盖4438端子版0726Mirror-2-1;l_shoulder_pitch_link^CHI01-00A；总装-1/303740726Mirror-2-1;l_shoulder_pitch_link^CHI01-00A；总装-1/输出盘44380726Mirror-2-1;l_shoulder_pitch_link^CHI01-00A；总装-1/4438输出工装-1Mirror-2-1;l_shoulder_pitch_link^CHI01-00A；总装-1/4438后装法兰-同向Mirror-2-1;l_shoulder_pitch_link^CHI01-00A；总装-1/正装轴承座44380726Mirror-2-1;l_shoulder_pitch_link^CHI01-00A；总装-1/外壳4438-04150726Mirror-2-1,zs1,zs-1,l_shoulder_pitch_joint,revolute,0,0.08085,0,0,0,0,base_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_shoulder_roll_link,-0.0088047,8.879E-05,-0.052824,0,0,0,0.35,0.00028497,4.1E-07,8.018E-05,0.00032147,3.6E-07,0.00014121,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/l_shoulder_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/l_shoulder_roll_link.STL,,l_shoulder_roll_link^CHI01-00A；总装-1/外壳4438-04150726Mirror-2-1;l_shoulder_roll_link^CHI01-00A；总装-1/正装轴承座44380726Mirror-2-1;l_shoulder_roll_link^CHI01-00A；总装-1/输出盘44380726Mirror-2-1;l_shoulder_roll_link^CHI01-00A；总装-1/4438后装法兰-反向Mirror-2-1;l_shoulder_roll_link^CHI01-00A；总装-1/4438输出工装-2Mirror-2-1;l_shoulder_roll_link^CHI01-00A；总装-1/0423电机盖4438端子版0726Mirror-2-1,zs2,zs-2,l_shoulder_roll_joint,revolute,0,0.06515,0,0,0,0,l_shoulder_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_arm_yaw_link,-0.002422,8.6807E-05,-0.059552,0,0,0,0.35,0.00017393,-1.1E-07,1.346E-05,0.00020583,8E-07,0.00013651,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/l_arm_yaw_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/l_arm_yaw_link.STL,,l_arm_yaw_link^CHI01-00A；总装-1/外壳4438-04150726Mirror-2-1;l_arm_yaw_link^CHI01-00A；总装-1/0423电机盖4438端子版0726Mirror-2-1;l_arm_yaw_link^CHI01-00A；总装-1/输出盘44380726Mirror-2-1;l_arm_yaw_link^CHI01-00A；总装-1/4438后装法兰-同向Mirror-2-1;l_arm_yaw_link^CHI01-00A；总装-1/4438输出工装-1Mirror-2-1;l_arm_yaw_link^CHI01-00A；总装-1/正装轴承座44380726Mirror-2-1,zs3,zs-3,l_arm_yaw_joint,revolute,-0.0026,0,-0.06495,0,0,0,l_shoulder_roll_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
l_arm_roll_link,0.0088047,-8.879E-05,-0.052824,0,0,0,0.35,0.00028497,4.1E-07,-8.018E-05,0.00032147,-3.6E-07,0.00014121,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/l_arm_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_cl_23_240925/meshes/l_arm_roll_link.STL,,l_arm_roll_link^CHI01-00A；总装-2/外壳4438-04150726Mirror-2-1;l_arm_roll_link^CHI01-00A；总装-2/0423电机盖4438端子版0726Mirror-2-1;l_arm_roll_link^CHI01-00A；总装-2/输出盘44380726Mirror-2-1;l_arm_roll_link^CHI01-00A；总装-2/4438输出工装-2Mirror-2-1;l_arm_roll_link^CHI01-00A；总装-2/4438后装法兰-反向Mirror-2-1;l_arm_roll_link^CHI01-00A；总装-2/正装轴承座44380726Mirror-2-1,zs4,zs-4,l_arm_roll_joint,revolute,0,0,-0.06645,0,0,0,l_arm_yaw_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
